name,type,about,employees,employees_latest,growth_stage,traffic_summary,launch_year,has_promising_founder,has_strong_founder,has_super_founder,total_funding,last_funding,company_status,last_updated_utc,created_utc,employee_3_months_growth_unique,job_openings,kpi_summary->last_update_date_utc,team->total,traffic->visitors,3d technology,artificial intelligence,augmented reality,autonomous & sensor tech,big data,blockchain,computer vision,connected device,deep learning,deep tech,hardware,iot internetofthings,machine learning,mobile app,nanotech,natural language processing,quantum technologies,recognition technology,virtual reality,Status
Digital Versorgung,service_provider,Die Brücke in eine gesunde Zukunft für Deutschland. Wir stellen die Verbindung zwischen Startups und Krankenkassen her um diese auf dem Weg der DVG-konformen Verifizierung zu unterstützen. Durch unseren internen Accelerator fördern wir frische Ideen und mit direkten Kooperationen ermöglichen wir es bestehenden Startups Produkte für die Download-Plattform in einer Test-Phase verifizieren zu lassen. Ihr habt eine tolle Idee von so hohem Nutzen dass diese durch Ärzte verschrieben werden sollte? https://www.digitalversorgung.de/bewerbung,2-10,,seed,,,False,False,False,0.0,,operational,2022-09-09 05:18:47,2021-12-13 19:38:24,,0,2021-12-13 20:04:58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Procure Ai,company,"Procure Ai enables companies to automate their procurement.   Our mission is to enable companies to run the world’s most intelligent procurement – human and artificial.  More than 50% of today’s procurement tasks will be automated in the next 5 years, but companies face massive data gaps, hindering their path to automation.   Procure Ai’s intelligent data platform bridges this gap to build a high-value procurement function.",11-50,16.0,early growth,0.4K,2020.0,True,False,False,0.0,,operational,2022-09-13 21:58:19,2020-08-12 18:43:15,87292.0,0,2021-04-20 13:47:53,2,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Smart Flow Irritech Solutions,company,Our Mission is to empower farmers to achieve optimal yields through innovative irrigation solutions and mitigate climate change effects with responsible use of earth’s resources.,2-10,3.0,seed,,2020.0,False,False,False,0.0,0.5,operational,2022-09-06 07:46:04,2022-03-05 09:55:58,645936.0,0,2022-03-05 09:57:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Moebelmatch,company,moebelmatch - die Newcomer Plattform für MöbelhandwerkskünstlerInnen mit einzigartigen Möbelstücken und Wohnaccessoires.,1,1.0,seed,2K,2019.0,False,False,False,0.0,,operational,2022-09-04 11:26:51,2020-09-23 09:20:50,,0,2020-09-23 09:20:50,0,1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
PRIOjet Logistics,company,Impressum: http://www.priojet.com/impressum/ Datenschutzerklärung: http://www.priojet.com/datenschutzerklaerung/,2-10,5.0,seed,,2020.0,False,False,False,0.57,0.57,operational,2022-08-18 09:28:13,2021-02-16 16:49:30,664576.0,0,2022-04-05 09:43:40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
whylab,company,"whylab is your space for personal development & mental wellbeing. 

With our unique group format you will go on your journey to grow together with your peers. You will be matched to a group based on your individual needs and personalities and guided throughout the structured process. We help you implement what you have learned and what you want to learn with our digital companion.",11-50,18.0,early growth,23K,2020.0,True,False,False,0.0,,operational,2022-08-18 15:38:29,2021-04-20 10:10:15,654809.0,0,2022-03-07 10:39:16,3,22519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Crocus Labs,company,"Crocus Lab’s mission is to empower the world’s transition to sustainable food through increasingly sun-like, efficient light technologies for Greenhouses, Vertical farms and all other forms of closed environment agriculture. By leveraging proprietary semiconductor technologies, Crocus Labs can produce groundbreaking LEDs with best-in-class performance. As the world’s only vertically integrated horticulture luminaire system company, Crocus Labs continues to innovate, scale and reduce the costs of operating indoor farms while improving crop quality, with the goal of ultimately getting us to a sustainable and 100% locally sourced food that is accessible to all.",2-10,5.0,seed,0.2K,2020.0,False,True,False,5.2,1.9,operational,2022-08-29 13:37:02,2021-02-12 09:52:20,,0,2022-08-29 13:37:02,6,174,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Rejected
gapcharge,company,Smart wireless charging solutions - perfectly integrated in your vehicle.,2-10,9.0,seed,,2020.0,False,False,False,0.0,,operational,2022-08-16 08:07:09,2021-06-25 09:15:00,881982.0,0,2021-06-25 10:02:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
STRAYZ Petfood GmbH,company,"Pur(r)pose Driven Petfood: Wir wollen das Leben aller streunenden Vierbeiner verbessern. 

Mit der Entwicklung und dem Verkauf von artgerechtem Bio-Heimtierfutter, haben wir es uns zum Ziel gesetzt, in den nächsten 10 Jahren 100 Millionen Streunern in Not zu helfen. 

Ambitioniert? Klar, aber mit Eurer Hilfe schaffen wir das! Denn mit jedem verkauften STRAYZ Produkt spenden wir nicht nur eine Mahlzeit an eine Fellnase in Not, sondern ermöglichen mit unseren pawsome Non-Food-Artikeln auch den medizinischen Support für streunende Vierbeiner. 

Erfahrt alles über uns, unsere Mission und unsere Produkte auf www.strayz.de.

STRAYZ - Du fütterst. Du hilfst.
#futterspendet",2-10,5.0,seed,9K,2020.0,False,False,False,0.0,,operational,2022-09-06 06:44:19,2021-02-04 13:57:46,664304.0,0,2021-11-26 16:13:38,5,9156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
MotionTag,company,"Today's mobility is inefficient, inconvenient and not sustainable because we lack knowledge of how everyday mobility works.
MotionTag creates seamless, sustainable and smart mobility. Our technology infers insights from smartphone sensors about how, when and where people use transport services. We deliver the intelligence to help our clients understand their customer behaviors, optimize existing transport systems and create new, seamless mobility experiences. 
View our privacy policy here: https://motion-tag.com/en/privacy-policy/",11-50,19.0,early growth,3K,2015.0,False,False,False,1.4,,operational,2022-09-01 03:14:25,2018-02-26 16:30:31,841785.0,0,2022-06-11 09:02:14,6,2761,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Rejected
MotionTag,company,"Today's mobility is inefficient, inconvenient and not sustainable because we lack knowledge of how everyday mobility works.
MotionTag creates seamless, sustainable and smart mobility. Our technology infers insights from smartphone sensors about how, when and where people use transport services. We deliver the intelligence to help our clients understand their customer behaviors, optimize existing transport systems and create new, seamless mobility experiences. 
View our privacy policy here: https://motion-tag.com/en/privacy-policy/",11-50,19.0,early growth,3K,2015.0,False,False,False,1.4,,operational,2022-09-01 03:14:25,2018-02-26 16:30:31,841785.0,0,2022-06-11 09:02:14,6,2761,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Rejected
Cuma Financial,company,,,,early growth,,2017.0,False,False,False,0.0,,operational,2022-05-19 16:50:23,2020-12-29 12:46:36,,0,2020-12-29 14:00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Sodyo,company,"Sodyo provides the next generation of interactive scanning technology that enables users to easily scan a small marker and be instantly connected to any actionable content of your choice. We connect offline to online in any environment – outdoor, indoor, print & digital.

The technology’s unique characteristics allow Sodyo to work on any media, at any distance and to easily scan multiple markers at one time.  The revolutionary solution can be applied to many markets. 

Users can sit on their couch and point their phone towards the TV screen and instantly interact with a show, get more information, and even make a purchase.  In a more public setting, users can scan a marker in a train station and get updated train schedules, report a maintenance problem, and purchase a ticket.  

Try it for yourself at http://www.sodyo.com/try-sodyo/.",11-50,11.0,early growth,0.2K,2012.0,False,True,False,4.55,4.55,operational,2022-09-01 03:14:41,2013-10-01 11:00:00,407773.0,0,2022-08-03 12:10:46,4,166,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Rejected
Crymbo,company,"Crymbo was founded by a group of serial and successful entrepreneurs, to create the First Ever Crypto Network for financial institutions.
Crymbo aims to solve fundamental issues preventing the crypto market from fulfilling its potential, and streamline the process of buying and selling cryptocurrency",2-10,9.0,seed,0.3K,2018.0,False,False,False,0.0,,operational,2022-09-04 01:30:35,2020-04-16 16:06:15,476037.0,0,2020-04-17 00:42:58,1,275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Moneyclip,company,"MoneyClip is cash for your phone. We're not another digital card product or an online bank. 

MoneyClip is an extension of your bank account. Load your MoneyClip on the go, tap in store to make a purchase, send a payment request and keep track of who owes what, pool money to make something amazing happen.

MoneyClip makes money work for the way you live.",11-50,24.0,early growth,46K,2018.0,False,False,False,0.0,,operational,2022-09-02 02:55:56,2020-08-31 17:54:49,901898.0,0,2020-08-31 17:54:50,2,46421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Gillsoft Technology GmbH,service_provider,Gillsoft is the team of cool like-minded people who invent and implement infrastructure projects in transport & tourism,2-10,6.0,seed,,2021.0,False,False,False,0.0,,operational,2022-08-16 08:31:36,2021-06-30 08:10:43,202.0,0,2022-03-30 05:54:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Avi Medical,company,Elevating the patient experience and providing the best possible care by combining technology with a human touch.,51-200,88.0,late growth,79K,2020.0,False,False,True,88.5,50,operational,2022-09-13 07:05:53,2020-10-06 12:49:44,72206.0,7,2022-04-07 07:15:39,11,78615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Avi Medical,company,Elevating the patient experience and providing the best possible care by combining technology with a human touch.,51-200,88.0,late growth,79K,2020.0,False,False,True,88.5,50,operational,2022-09-13 07:05:53,2020-10-06 12:49:44,72206.0,7,2022-04-07 07:15:39,11,78615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
EqualTo,company,"Many companies have been on an automation binge over the past decade, but when it comes to sales commissions, most are still stuck in the past.

EqualTo is the sales commission operating system for high-growth sales teams. We are the missing piece of infrastructure needed to automate the commission process and maximize the ROI on sales commission.

EqualTo acts as the single source of truth for commissions, and seamlessly connects to many pieces of core infrastructure such as CRM, ERP, HR, Payroll and accounting systems.",11-50,22.0,early growth,26K,2020.0,False,False,False,1.03,3.5,operational,2022-09-12 01:47:27,2020-05-27 12:34:26,103471.0,0,2022-01-19 18:27:51,4,25666,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Prospect
In harmony,company,,,,late growth,,2017.0,False,False,False,0.0,,operational,2022-08-23 04:26:49,2018-11-30 16:21:45,,0,2022-08-23 04:26:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Munevo,company,"The munevo GmbH team created munevo DRIVE to provide an intuitive, comfortable electric wheelchair operation option for people with significant mobility impairments. munevo’s mission? Empowering people! Smartglasses transmit the user's head movements into digital signals, which enables them to operate their electric wheelchair hands-free. munevo DRIVE is compatible with various add-ons such as mobile devices, a robotic arm and smart home systems.",11-50,20.0,early growth,,2018.0,False,False,False,0.0,,operational,2022-09-12 11:28:47,2022-04-15 10:55:03,,0,2022-04-15 10:57:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
ROOQ,company,"We create transparency — adapted to athletes to support their development. ROOQ measures performance and behaviour in boxing, capturing all situations that are useful for action. The sensors detect movements, track distances and determine speed without further reference systems (like GPS). Our dedicated app analyzes and visualizes all data and determines the complexity and dynamics of the fighting behaviour. Offering an innovative, exceptional high-quality product allows every athlete to track their personal growth and therefore to work constantly on their development. Not only for athletes but also for their coaches receiving important data and insights. ROOQ in the name of boxing — engineered and designed in Germany.",11-50,17.0,early growth,18K,2018.0,False,False,False,0.0,,operational,2022-09-14 00:29:00,2020-11-05 18:08:17,165500.0,0,2020-11-05 20:01:19,0,17810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Spearad GmbH,company,"The evolution within the TV broadcast ecosystem. Helping broadcasters to embrace targeted advertising for TV like experience. What we do ... Real Time Holistic Decisioning Engine and Automated On-The-Fly Ad Insertion and Content Monetization for Addressable TV, OTT, Mobile and any other device that can manage Video. Our Automated Real Time Decisioning Engine allows Broadcaster a seamless switch to addressable user and individual advertisement at scale. We decide holistically for Ads, which are best in time for the User watching TV on any device for TV like experience. Ability to deliver different commercials to different households during the same broadcast based on advertisers KPI’s leading to greater revenue & higher CPM’s for broadcaster""",2-10,8.0,seed,0.7K,2019.0,True,False,False,0.91,13.36,acquired,2022-08-12 16:02:43,2020-07-17 13:59:47,453105.0,0,2021-10-21 13:04:37,2,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
EASII,service_provider,"easii.io makes marketing automation easy for SMEs, Enterprise & Agencies by automating their work process and workflow - from content writing to delivery to Social Media, Ads, Websites & Mail platforms - by reducing complexity, time and resources required.",2-10,3.0,seed,,2020.0,False,False,False,0.0,,operational,2022-05-20 03:50:20,2021-06-30 08:06:00,,0,2021-06-30 10:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Lyno,company,Lyno boosts productivity and communication in distributed teams. It encourages an open and inspiring way of communication and brings it to your remote desk.,2-10,3.0,seed,0.2K,2018.0,False,False,False,0.0,,operational,2022-08-25 02:55:32,2019-10-29 13:04:52,47820.0,0,2019-10-29 13:04:52,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prospect
Lyno,company,Lyno boosts productivity and communication in distributed teams. It encourages an open and inspiring way of communication and brings it to your remote desk.,2-10,3.0,seed,0.2K,2018.0,False,False,False,0.0,,operational,2022-08-25 02:55:32,2019-10-29 13:04:52,47820.0,0,2019-10-29 13:04:52,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Rebolet,company,"In retail, more than 15% of goods are returned or never sell. This leads to billions in costs and tons of unnecessary waste. We provide software and systems that connect these goods directly to consumers, cutting out all middlemen and increasing recovery value for retailers, while giving consumers great deals and reducing environmental waste.

Get in touch for a demo.",11-50,19.0,early growth,6K,2018.0,False,False,False,0.0,,operational,2022-08-25 11:41:32,2019-06-04 10:42:45,,8,2022-08-18 07:01:46,1,5764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prospect
Aifora,company,"The aifora retail automation platform enables you to predict how much your customers will buy, when, where and at what price. With a variety of AI-based solutions for pricing and inventory management, you are able to comprehensively optimize your merchandise management and automate all underlying processes. Moreover, we believe in the data sharing economy and strive to make data available and actionable for all brands and retailers so that they can take informed business decisions, create outstanding consumer experiences, improve profitability, and grow faster. Are you ready to transform shared data into powerful insights?

Our SaaS services are easy to integrate, highly customizable, deliver quick return on investment and can be used independently or jointly.

We serve international brands and retailers of all sizes on all channels.",51-200,64.0,late growth,0.3K,2018.0,False,True,False,10.0,7,operational,2022-08-20 22:29:04,2018-11-29 18:08:50,106197.0,1,2022-01-19 18:08:46,2,273,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Rejected
Aifora,company,"The aifora retail automation platform enables you to predict how much your customers will buy, when, where and at what price. With a variety of AI-based solutions for pricing and inventory management, you are able to comprehensively optimize your merchandise management and automate all underlying processes. Moreover, we believe in the data sharing economy and strive to make data available and actionable for all brands and retailers so that they can take informed business decisions, create outstanding consumer experiences, improve profitability, and grow faster. Are you ready to transform shared data into powerful insights?

Our SaaS services are easy to integrate, highly customizable, deliver quick return on investment and can be used independently or jointly.

We serve international brands and retailers of all sizes on all channels.",51-200,64.0,late growth,0.3K,2018.0,False,True,False,10.0,7,operational,2022-08-20 22:29:04,2018-11-29 18:08:50,106197.0,1,2022-01-19 18:08:46,2,273,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Watch/Hold/Reconsider
Elise,company,"The way we develop technical products today will change fundamentally. In the future, engineers will no longer design parts by hand. As in nature, Generative Engineering enables the development of DNAs of technical parts, which allow products to be generated perfectly adapted to their boundary conditions. Our open software platform software enables faster development of more innovative products.",11-50,39.0,early growth,3K,2018.0,False,True,False,17.51,14.5,operational,2022-09-08 07:05:47,2019-11-14 09:30:29,117250.0,1,2022-01-05 14:56:25,3,3275,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Rejected
Blinkin,company,BlinkIn is giving the world a help button and changes how people solve problems.,11-50,21.0,early growth,0.3K,2019.0,False,False,False,0.0,,operational,2022-08-29 23:48:07,2020-03-30 04:13:21,474504.0,0,2020-03-31 01:27:36,3,208,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Rejected
OXYT Technology UG (haftungsbeschränkt),service_provider,"OXYT Technology is a multi sided company. Custom hardware development for our customers is only one aspect. Mostly, OXYT is engaging in offering new solutions for education and bringing people together to create extraordinary things.",2-10,3.0,seed,,2020.0,False,False,False,0.0,,operational,2022-09-13 18:43:27,2021-12-14 22:33:26,622700.0,0,2021-12-15 00:01:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Vitokrates UG (haftungsbeschränkt),company,"Vitomy ist eine personalisierte COACHING APP für Patienten mit Verdauungs- oder Stoffwechselstörungen.

Die App begleitet Patienten im Alltag – neben einer medizinischen Therapie und unterstützt sie dabei, nachhaltig gesund zu werden und zu bleiben. 

•Vitomy ist alltagsnahe Die Coaching-App begleitet den Patienten 24 Stunden am Tag bei der Umsetzung einer gesunden Lebensweise, egal ob zuhause oder unterwegs. 
•Vitomy ist individuell: Jeder Patient bekommt seinen ganz spezifischen Gesundheitsplan. Fragebögen sorgen dafür, dass Gewohnheiten und Bedürfnisse im Detail beachtet werden können.
•Vitomy ist wissenschaftlich: Die App setzt auf medizinischen Werten auf. Alle Empfehlungen basieren auf aktuellen medizinischen Standards. Der Behandler kann über ein Cockpit jederzeit den Gesundheitszustand seines Patienten einsehen. 
•Vitomy ist nachhaltig: Die Coaching App unterstützt jeden Patienten bestmöglich bei der Umsetzung – durch eine schrittweise Anleitung, Erinnerungen, Motivation, vertiefendes Wissen sowie Tipps und Tricks, wie die Umsetzung leichter fällt.",1,1.0,seed,0.7K,2018.0,False,False,False,0.01,0.01,operational,2022-09-01 09:00:12,2020-03-29 17:04:06,,0,2022-05-20 12:38:13,1,687,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Rejected
MyClapp,service_provider,,,,early growth,,2020.0,False,False,False,0.0,,operational,2022-05-20 05:33:41,2022-01-04 10:53:56,,0,2022-01-04 12:02:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Angiolutions,company,"Angiolutions – breaking new ground in abdominal aortic aneurysm (AAA) treatment.
 
Abdominal aortic aneurysms are threatening the lives of millions of patients around the world with no way to intercept early disease progression.
 
Angiolutions will change that.
 
Angiolutions is the first company to develop a therapeutic device preventing disease progression in small abdominal aortic aneurysms.",2-10,6.0,seed,0.2K,2017.0,False,False,False,0.0,,operational,2022-09-13 01:43:55,2020-12-22 01:30:43,,0,2021-02-19 04:25:45,2,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
lemon.markets,company,"It’s time for a brokerage infrastructure that gives you the power to build anything.
Historical and real-time market data combined with flawless order execution.
Shipped with batteries included. All in one API.
Sign up now: https://www.lemon.markets/",11-50,13.0,early growth,,2020.0,False,True,False,0.0,15,operational,2022-08-11 00:18:59,2022-04-06 08:44:13,,4,2022-08-11 00:18:59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Pumpapp,company,,,,,,,False,False,False,0.0,,operational,2022-05-19 17:35:25,2021-10-04 14:46:24,,0,2021-10-04 17:03:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
dadacoin technologies,service_provider,,2-10,,seed,,2020.0,False,False,False,0.0,,operational,2022-05-20 05:27:03,2021-12-27 09:33:53,,0,2021-12-27 10:20:03,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
DasAboMobil GmbH,company,,,,early growth,,2020.0,False,False,False,0.0,,operational,2022-05-19 19:35:53,2022-05-02 12:58:23,,0,2022-05-02 12:59:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Fronyx,company,"fronyx is a Germany-based startup focused on data science and artificial intelligence applications in the e-mobility industry. The company was founded by experienced e-mobility experts and ambitious data scientists. By 2030, we want all electric vehicle charging decisions contributing to emission-free mobility and energy. Our E-Mobility Recommender Toolkit provides AI technology to optimize where, when and how electric vehicles charge.",2-10,5.0,seed,,2020.0,False,False,False,0.0,,operational,2022-09-06 22:36:49,2021-09-28 14:20:46,518351.0,0,2021-09-28 15:46:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Rejected
Lemin,company,"Make change work!   Lemin - the most effective way to drive change in your company.  Lemin supports teams in companies in the cultural change towards more communication, collaboration and leadership.  Lemin's eye-opening analysis manages to show in detail for each team where there are fields of action and provides each teammember with precise, personalized coaching moments—we call them nudges—when your people need them most: in the flow of their day-to-day, in the moments that matter.  Lemin combines Nobel-prize winning science and tens of years of practical experience with artificial intelligence to make change work and bring your teams to the next level.",11-50,13.0,early growth,413K,2019.0,False,False,False,0.36,0.36,operational,2022-06-30 23:47:30,2020-02-13 14:03:49,25833.0,0,2022-04-11 11:50:44,1,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
newboxes,service_provider,"As a new form of organisation, we combine transformation consulting, management, engineering and IT services. We use solutions we’ve developed ourselves to advance, within companies, those key issues that are critical to success. newboxes was founded to see the big picture in an increasingly agile world. Because everything around us is changing constantly and at an accelerating pace. Here we see ourselves as a compass, a source of inspiration, a powerhouse for our customers. We give impetus to developments and encourage them to take new, unconventional paths. In business models, structures and processes, products and services. With our interdisciplinary units, cross-sector orientation and an outstanding network, we offer our clients the essential building blocks for growth, knowledge and change. Our drive is to break down the boundaries of today's world and create new boxes, together with people and organisations. Playful, explorative, problem-solving, positive. Our message: Open up!",11-50,21.0,early growth,,2020.0,False,False,False,0.0,,operational,2022-09-13 15:13:37,2021-12-14 21:41:42,74543.0,0,2021-12-14 21:48:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Noisli,company,"Noisli is your digital place for focus.
The service provides background sounds that help to mask annoying noises in order to keep you sane, improve your focus and boost your productivity.
Mix different sounds and create your perfect sound environment tailored to your needs, in order to help you focus while working or studying, ease the noise around you while travelling or to help you relax, fall asleep or reduce stress.",2-10,2.0,seed,614K,2013.0,False,False,False,0.02,0.02,operational,2022-09-01 03:11:25,2013-10-01 11:00:00,405793.0,0,2020-09-30 14:11:19,2,614291,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Rejected
Airphoto,company,,,,,,,False,False,False,0.0,,operational,2022-05-19 17:51:32,2021-10-25 12:48:11,,0,2021-10-25 16:05:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
OpenDress,company,,,,,,,False,False,False,0.0,,operational,2022-06-20 13:18:30,2022-01-24 09:36:04,,0,2022-01-24 09:48:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Susteyn Office Farming,company,"We are building office farms, the indoor farm for the work-space. We enable offices to green their work-space and enable employees to grow fresh edible plants like microgreens, herbs or lettuce for their lunch or as a snack.",2-10,2.0,seed,,,False,False,False,0.0,,operational,2022-08-20 06:03:18,2021-06-25 09:13:22,712152.0,0,2021-06-25 10:02:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
AI.Land,company,"Automation and digitalization for agricultural sectors, especially crop and animal production.   We offer innovative solutions in the fields of R&D, product development, systems engineering, and design, as well as services with a focus on robotics. One mission is the innovation transfer of ETAROB from Aachen University of Applied Sciences into agricultural practice.",2-10,6.0,seed,0.1K,2020.0,False,False,False,0.0,,operational,2022-09-07 23:00:38,2020-11-19 22:51:42,17679.0,0,2020-11-20 00:00:46,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Divizend,company,"Divizend ist die führende internationale Wealth Tax FinTech-Plattform mit dem schnellsten Weg zur Rückforderung ausländischer Quellensteuern auf Dividenden.

Unsere B2C-Software hilft Privatanlegern, ihre Steuern zurückzufordern, indem sie den Prozess der Quellensteuerrückerstattung automatisiert. Divizend ist das erste FinTech weltweit, das daran arbeitet, einen solchen neuartigen Dienst auf eine besonders benutzerfreundliche und preisgünstige Weise zu digitalisieren. Mit unserem ganzheitlichen Ansatz, verbalisiert durch unseren Claim „Finden, Handeln, Maximieren“, wird Divizends Plattform in Zukunft der zentrale Ort für Anleger sein, die nach hohen Dividendenerträgen streben, da sie dort stets die relevantesten Forschungsergebnisse, Analysen und Steuerdienstleistungen finden werden. Die wichtigsten Komponenten, die wir zur Sicherstellung höchster Qualitätsanforderungen ausschließlich intern bauen, sind die B2C-Plattform zur Quellensteuerrückerstattung, die auf einen 90-Milliarden-Dollar-Markt abzielt, die erste internationale API für Wertpapieraggregation, eine Wertpapierdatenbank und ein Dividendenscreener.",2-10,6.0,seed,1K,,False,False,True,0.0,,operational,2022-08-15 03:27:59,2021-05-16 14:43:34,,0,2021-06-01 08:01:05,1,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
MotorSkins,company,"MotorSkins is a fluid-driven exosuit that helps people walk more easily.
 
MotorSkins' unique system is inspired by the hygroscopic movement of plants. The result is a bio-inspired, passively actuated system that harvests the potential energy in a person’s gait, using each step to power the next one. Taking advantage of the flexibility provided by digital fabrication techniques, Motorskins aims to enhance the autonomy of people with walking difficulties through a new paradigm of comfortable, tailored and affordable assistive technology.",2-10,7.0,seed,0.2K,2020.0,False,False,False,0.0,,operational,2022-08-31 17:52:37,2020-01-29 15:31:40,471928.0,0,2020-07-15 18:12:01,3,179,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Rejected
SaaS.group,corporate,"SaaS.group is a conglomerate of indie businesses and was founded by experienced industry veterans with a proven entrepreneurial, investing and product background.
 
We love healthy SaaS companies and help them to reach the next level. If being acquired is something that sparks some interest or you’d like to know about our process, we’d love to have a chat with you. We support all sorts of involvement from investment, founders staying on board to fully taking it off your hands.

Learn more about us and our approach on Indiehackers: https://www.indiehackers.com/interview/2f745388db",11-50,33.0,early growth,20K,2018.0,False,False,False,0.0,,operational,2022-08-25 12:52:42,2019-04-19 15:17:25,117700.0,5,2020-01-28 13:38:25,2,20297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Hyconnect,company,"HYCONNECT IST IHR PARTNER FÜR SMARTE VERBINDUNGSTECHNOLOGIEN.

Wir bieten Verbindungselemente für Faserverbundwerkstoffe und Metall. Nutzen Sie die Potentiale von Leichtbau in Kombination mit Metallen ohne die Komplexität von Kleben oder Nieten beim Fügen.",2-10,5.0,seed,107K,2018.0,False,False,False,0.0,,operational,2022-08-24 10:23:56,2019-06-20 09:51:10,468549.0,0,2019-11-14 18:50:19,0,9099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
Peregrine Technologies,company,We empower teams to build a safer and more sustainable mobility ecosystem for all - using AI-powered video analytics.,11-50,28.0,early growth,1K,2019.0,True,False,False,0.0,,operational,2022-09-05 00:38:58,2020-03-11 14:54:02,473407.0,1,2022-06-11 07:26:34,6,1419,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Rejected
